Kategorie,Lebensmittel,Kcal,Eiweiß (g),NaCl (g),Kalium (mg),Phosphat (mg)
Aufstriche,Konfitline Gelée Marmeladen,299,0.1,-,57,4
Aufstriche,Honig,306,0.4,-,47,18
Aufstriche,Nuss-Nougat-Creme,417,8.0,-,673**,219**
Aufstriche,Erdnussbutter,597,26.1,0.6,760**,362**
Brot Gebäck Pizza,Weizenmischbrot (Sonnenblumen),274,8.7,1.4,130,102
Brot Gebäck Pizza,Vollkornbrot,187,6.5,1.4,239,232
Brot Gebäck Pizza,Roggenmischbrot,212,6.9,-,185,136
Brot Gebäck Pizza,Knäckebrot,358,11.1,2.0,189,135
Brot Gebäck Pizza,Laugengebäck,340,9.4,2.0,129,160
Brot Gebäck Pizza,Zwiebelkuchen Hefeteig,167,4.0,-,195,60
Brot Gebäck Pizza,Pizza im Durchschnitt,216,9.0,1.2,190,155
Kartoffeln Nudeln und Reis,Kartoffel gekocht mit Schale,70,2.1,-,416**,50
Kartoffeln Nudeln und Reis,Salzkartoffeln,70,2.0,0.8,338**,48
Kartoffeln Nudeln und Reis,Pommes Frites,290,3.0,0.8,560**,73
Kartoffeln Nudeln und Reis,Kartoffelchips,535,5.5,1.2,1000**,147
Kartoffeln Nudeln und Reis,Spätzle (Rohmasse),108,3.6,-,400**,45
Kartoffeln Nudeln und Reis,Reis gekocht poliert,84,2.0,-,31*,36
Soßen Fette,Barbecue-Grillsauce,146,1.8,3.0**,464**,52
Soßen Fette,Sojasauce,70,8.7,15**,360**,210
Soßen Fette,Tomatensetchup,110,2.1,3.0**,590**,43
Soßen Fette,Butter,741,0.7,-,16,21
Soßen Fette,Öl (Pflanzenöl im Durchschnitt),881,-,-,-,1
Gemüse und Salate,Aubergine gegart ohne Salz,17,1.3,-,187,21
Gemüse und Salate,Avocado,217,1.9,-,504**,38
Gemüse und Salate,Blumenkohl roh,23,2.5,-,328**,54
Gemüse und Salate,Blumenkohl gegart ohne Salz,18,2.2,-,245,49
Gemüse und Salate,Bohnen (Schneidbohnen) grün,12,1.2,0.6,143,24
Gemüse und Salate,Erbsen grün frisch,82,6.6,-,304**,108
Gemüse und Salate,Erbsen Konserve abgetropft,70,6.2,0.6,177,94
Gemüse und Salate,Gurke frisch,12,1,-,165,15
Gemüse und Salate,Kopfsalat,12,1.3,-,224,33
Gemüse und Salate,Paprikaschote,19,1.1,-,177,22
Gemüse und Salate,Radischen,15,1.1,-,255,26
Gemüse und Salate,Rote Rübe (Bete roh,41,1.5,-,407**,45
Gemüse und Salate,Rote Rübe Konserve abgetropft,32,1.4,0.5,215,43
Gemüse und Salate,Rotkohl roh,23,1.5,-,264*,30
Gemüse und Salate,Rotkohl (Blaukraut) gegart ohne Salz,18,1.4,-,138,38
Gemüse und Salate,Spargel roh,18,1.9,-,203,46
Gemüse und Salate,Spargel Konserve,15,1.7,0.7,120,30
Gemüse und Salate,Tomate,17,1.0,0.5,242,26
Gemüse und Salate,Zucchini,28,1.3,-,135,42
Gemüse und Salate,Zucchini gegart ohne Salz,19,1.6,-,167,23
Obst,Apfel roh,52,0.4,-,144,11
Obst,Apfelmus,79,0.4,-,114,7
Obst,Apfel getrocknet,248,1.4,-,627**,50
Obst,Ananas,59,0.5,-,173,9
Obst,Banane,95,1.2,-,394**,28
Obst,Birne,52,0.5,-,125,15
Obst,Erdbeere,32,0.8,-,145,25
Obst,Heidelbeere,42,0.6,-,73,13
Obst,Himbeere,34,1.3,-,170,45
Obst,Kirsche,63,0.9,-,210,20
Obst,Mango,60,0.6,-,190,13
Obst,Mandarinen,50,0.7,-,210,20
Obst,Orange,47,1.0,-,177,23
Obst,Pfirsich,41,0.8,-,176,25
Obst,Wassermelone,38,0.6,-,158,11
Obst,Weintrauben,71,0.7,-,190,20
Obst,Zitrone,56,0.7,-,149,16
Nüsse,Haselnuss,636,11.9,-,635**,337**
Nüsse,Paranuss,674,17.6,-,1020**,500**
Nüsse,Cashew-Nuss,569,17.2,-,552**,373**
Nüsse,Walnuss,683,14.4,-,544**,407**
Nüsse,Sesam-Samen,565,17.7,-,468**,607**
Zucker und Salz,Zucker,405,-,-,2,-
Zucker und Salz,Salz,-,-,99**,4,150
Süßigkeiten Knabbereien,Schokolade weiß,542,5.2,-,241,144
Süßigkeiten Knabbereien,Schokolade Vollmilch,507,5.3,-,459**,220
Süßigkeiten Knabbereien,Schokolade Milchschokolade,537,9.2,-,466**,261
Süßigkeiten Knabbereien,Geleefrüchte,329,1.6,-,123,11
Süßigkeiten Knabbereien,Erdnussflips,529,9.7,2.0**,165,107
Süßigkeiten Knabbereien,Salzstangen,347,9.0,4.3**,124,130
Getränke,Wasser im Durchschnitt,0,0.2,-,82,15
Getränke,Kaffee (Getränk),2,0.2,-,66,2
Getränke,Bier hell,43,0.5,-,95,32
Getränke,Apfelsaft,43,0.7,-,143,15
Milch und Milchprodukte,Emmentaler (45 % Fett i.Tr.),400,28.9,0.7,95,627**
Milch und Milchprodukte,Camembert (45 % Fett i.Tr.),288,21.0,1.8,150,350**
Milch und Milchprodukte,Feta,236,17.0,3.0**,150,360**
Milch und Milchprodukte,Frischkäse Doppelrahmstufe,335,11.0,1.0,90,150
Milch und Milchprodukte,Joghurt aus Frischmilch 3.5 % Fett,61,3.3,0.1,157,102
Milch und Milchprodukte,Kuhmilch 3.5 % Fett,65,3.4,-,141,92
Milch und Milchprodukte,Sahne 30 % Fett,288,2.5,-,100,60
Fleisch Wurst Fisch Eier,Huhn Brathuhn,166,19.7,0.2,339**,200
Fleisch Wurst Fisch Eier,Schwein Bratenfleisch,161,20.4,0.1,290,150
Fleisch Wurst Fisch Eier,Rindfleisch mager,129,20.2,-,297,174
Fleisch Wurst Fisch Eier,Leber Kalb,130,19.2,-,316**,306**
Fleisch Wurst Fisch Eier,Fleischwurst,252,16.2,2.5**,300**,148
Fleisch Wurst Fisch Eier,Leberwurst fein,337,15.9,2.0**,215,181
Fleisch Wurst Fisch Eier,Schinken gekocht geräuchert,193,19.5,2.4**,270,136
Fleisch Wurst Fisch Eier,Salami,316,17.2,3.2**,314**,158
Fleisch Wurst Fisch Eier,Forelle blau,115,20.3,0.3,327**,216**
Fleisch Wurst Fisch Eier,Kabeljau (Dorsch),77,17.7,-,352**,194**
Fleisch Wurst Fisch Eier,Matjesfilet,237,15.1,5.6**,375**,197**
Fleisch Wurst Fisch Eier,Hühnerrei 1 Stück 60 g,82,7.7,0.1,80,128
